ResourceID,brocade.id,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,adm.note,Warehouse Location (begin),Serial Number,Warehouse Location (ende)
5c1e09e9-31d5-570e-9050-94a70b3f39d9,tg:lhaq:8792,Items,1,tr:lh:7497,197407/20,isad:lh:95953,S 5621 / I (Doos 2),,,,
1beea900-3308-5a4d-9492-8a60f728f42d,tg:lhaq:6626,Items,1,tr:lh:9762,234388,isad:lh:100730,Planex GP / V 39155,,,,
3e4916c8-11e1-57a6-b7f5-adcd826f7bae,tg:lhaq:2370,Items,1,,76502,,SC 49 C 2,,,,
dcc55afd-62ec-50f4-8a26-7f808b7735ba,tg:lhaq:8403,Items,1,,215082/50,,GG 297 / I,,,,
5e937a35-f83b-5d43-9f13-29afb0ff6951,tg:lhaq:4565,Items,1,tr:lh:5448,106948/2,isad:lh:95963,C 3396 / I (doos 1),,,,
7c729a34-ba1a-58f8-a6ce-69f7c86f50d7,tg:lhaq:8546,Items,1,,215880/16,,Planex GT / T 159,,,,
52738c98-5867-5d59-906c-9ba1046e26c3,tg:lhaq:2632,Items,1,tr:lh:5190,102771/1,isad:lh:95930,Planex GT / S,,,,
54b8899f-fe69-58b3-bf28-58ce7abca638,tg:lhaq:8395,Items,1,,215082/42,,GG 297 / I,,,,
06c48f40-7010-5f14-bbd5-02802f6b0a5a,tg:lhaq:8680,Items,1,tr:lh:2339,44074/17,isad:lh:96034,V 114 / I (Doos 1),,,,
0cccfe13-5966-514f-988a-6d35cc081d04,tg:lhaq:5548,Items,1,tr:lh:6559,161988/23,isad:lh:95982,V 4303 / I,,,,
e833935d-27a6-5ffc-a736-109781e1f502,tg:lhaq:9009,Items,1,tr:lh:7497,197413/33,isad:lh:95953,S 5621 / I (Doos 3),,,,
7441af4b-7744-54fb-a0f6-4036bed9cba9,tg:lhaq:8531,Items,1,,215880/1,,Planex GT / T 159,,,,
b1ce90f6-e392-5335-b3bd-669a5c58aee7,tg:lhaq:8862,Items,1,tr:lh:7497,197408/73,isad:lh:95953,S 5621 / I (Doos 2),,,,
bf88cfb6-f431-5418-a71f-a37074a5f5f7,tg:lhaq:8927,Items,1,tr:lh:7497,197411/12,isad:lh:95953,S 5621 / I (Doos 2),"De rol van Paris, een jong edelman, werd  door de acteur Paul 's Jongers vertolkt.",,,
207edb6b-a0ee-5b45-83b8-6ad1b6ebd2ea,tg:lhaq:6893,Items,1,,174215/3,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, mei 1943

**Regie:** Joris Diels",,,
01582bee-3c39-5ada-b2be-121bcba0b779,tg:lhaq:2583,Items,1,,101672,,SC 72 B 2,,,,
407075f2-7ac8-5743-bab0-7bab26c3df34,tg:lhaq:9377,Items,1,tr:lh:7337,195174/6,isad:lh:127935,O 393 / Doos 11,,V1 B 75 C6,,
8a64f85a-b500-58e5-a6dc-81d241f27c55,tg:lhaq:8835,Items,1,tr:lh:7497,197408/51,isad:lh:95953,S 5621 / I (Doos 2),"De rollen van snollen werden door de actrices Marilou Mermans, Martha de Wachter en Tine Balder vertolkt.",,,
031ba763-243a-5ac6-bba2-8faeaee6f14c,tg:lhaq:8566,Items,1,,215880/32,,Planex GT / T 159,,,,
45bc62d6-8ccc-59a4-815b-f85cab9157de,tg:lhaq:8970,Items,1,tr:lh:7497,197412/44,isad:lh:95953,S 5621 / I (Doos 2),"De rol van de vader van Dierik, een rijke koopman, werd door de acteur Frans van den Brande vertolkt.",,,
4f45914f-0cd5-5f4a-82f7-c9acab67429c,tg:lhaq:7543,Items,1,tr:lh:5702,109863/2,isad:lh:100726,P 7385 / I (doos 1),,,,
2ad859d6-bab7-5567-b91f-09421db89323,tg:lhaq:9418,Items,1,,,isad:lh:156212,,,,,
a862b183-d8e5-5889-a8b6-545a5951bf1d,tg:lhaq:8570,Items,1,,215880/36,,Planex GT / T 159,,,,
a2a341c3-e2ce-5391-90b5-c592faf6680e,tg:lhaq:8989,Items,1,tr:lh:7497,197413/12,isad:lh:95953,S 5621 / I (Doos 3),,,,
fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,tg:lhaq:8966,Items,1,tr:lh:7497,197412/41,isad:lh:95953,S 5621 / I (Doos 2),"De rol van de oom van Dierik, werd door de acteur Marcel Hendrickx vertolkt.",,,
00e0fbdd-4572-51d8-b853-f22d4051ec6e,tg:lhaq:6539,Items,1,,100122/3b,,Planex GT / B 186,,,,
4402b862-8185-50ce-a227-ce7e540c8105,tg:lhaq:8874,Items,1,tr:lh:7497,197408/84,isad:lh:95953,S 5621 / I (Doos 2),,,,
47bf8d11-d5db-5792-acd2-fa9915b9b2ef,tg:lhaq:9273,Items,1,tr:lh:7087,177573,isad:lh:95953,S 5621 / I (Doos 4),,,,
0582cb82-8673-5f25-bd9f-584a0c57386f,tg:lhaq:8931,Items,1,tr:lh:7497,197411/16,isad:lh:95953,S 5621 / I (Doos 2),"De rol van Peter, een dienaar van Capulet, werd  door de acteur Maurits Goossens vertolkt.",,,
d9193347-1e9b-5a41-90fb-c85a862668a8,tg:lhaq:8675,Items,1,tr:lh:2339,44074/12,isad:lh:96034,V 114 / I (Doos 1),,,,
522c53e9-263a-5c6b-8b47-5128f198b1de,tg:lhaq:8360,Items,1,,215082/11,,GG 297 / I,,,,
38a00c02-f0d7-5265-8a98-002a2d3fc11d,tg:lhaq:9121,Items,1,tr:lh:9862,219084/b,,Planex KP / G 395,,,,
6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,tg:lhaq:8788,Items,1,tr:lh:7087,177576,isad:lh:95953,S 5621 / I (Doos 3),,,,
6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,tg:lhaq:8788,Items,2,tr:lh:7497,197406/4,isad:lh:95953,S 5621 / I (Doos 2),,,,
b71db4b7-0e93-5438-8cee-966fd1130158,tg:lhaq:2385,Items,1,,202842,isad:lh:95922,SC 49 E 1,,,,
67cc776d-eded-52ef-9013-f8d16406c585,tg:lhaq:9033,Items,1,tr:lh:7497,197415/32,isad:lh:95953,S 5621 / I (Doos 3),,,,
10089a08-cd5d-53fc-ae98-dad45dba721f,tg:lhaq:8767,Items,1,,174222/23,,Planex GT / T 159,,,,
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,Items,1,tr:lh:7634,212577/2,isad:lh:132095,Planex GT 905,"**Publicatie** KNS van Antwerpen, 98ste speeljaar, 1950-1951, eerste stuk van het seizoen; regie: Charles Gilhuys",,,
0f633b29-fd17-5e80-9cf5-a0d271042edf,tg:lhaq:7304,Items,1,tr:lh:5300,104358/19,isad:lh:96017,V 444 / I,Op achterzijde kleine geometrische schets.,,,
4b5f5db5-2980-5218-bad4-6157a2478f9b,tg:lhaq:8858,Items,1,tr:lh:7497,197408/70,isad:lh:95953,S 5621 / I (Doos 2),,,,
f52547bc-ebcc-5b6a-983a-5182fc56891c,tg:lhaq:9025,Items,1,tr:lh:7497,197415/26,isad:lh:95953,S 5621 / I (Doos 3),,,,
e8715f8e-49b4-5b10-b814-f99d31b7b461,tg:lhaq:8634,Items,1,,101014,,V 152245 / I (Planex GT),,,,
fcfa0ff9-6c11-5143-954c-8aaa3ec15a61,tg:lhaq:8771,Items,1,,174222/27,,Planex GT / T 159,,,,
cc0bf213-92e5-52af-a983-50c2cccd5464,tg:lhaq:6850,Items,1,tr:lh:6511,160062/3,isad:lh:96010,Planex GT 905,,,,
b8ea5fbc-ef22-518d-b0f1-49279177881f,tg:lhaq:8399,Items,1,,215082/46,,GG 297 / I,,,,
25edab14-c8f7-5c2c-95df-f46300929ace,tg:lhaq:9137,Items,1,tr:lh:9930,218018/5,isad:lh:96055,Planex GT / H 50494,"Decorontwerp uit map: """"Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"""".",,,
a9823bd0-44f5-52b0-ab1d-9472b05fa644,tg:lhaq:8376,Items,1,,215082/23,,GG 297 / I,,,,
546b9481-aa6b-59c7-bc5b-a340bb13d42d,tg:lhaq:7579,Items,1,tr:lh:5702,109861/33,isad:lh:100726,P 7385 / I (doos 1),,,,
7a65585b-4499-59a9-8d3d-b33a0a3e3048,tg:lhaq:4569,Items,1,tr:lh:5448,106948/4,isad:lh:95963,C 3396 / I (doos 1),,,,
b4aef652-88e9-5147-9e48-dc9af836824f,tg:lhaq:6943,Items,1,,76467/2,,SC 49 C 1,"**Opvoering:** KNS van Antwerpen van af 13-09-1930, de regie was van Joris
Diels.

Drie tekeningen (76467/1-3) in éen langwerpige kader.",,,
712aa656-f276-5bdd-8681-9d2edab83871,tg:lhaq:8818,Items,1,tr:lh:7497,197408/34,isad:lh:95953,S 5621 / I (Doos 2),De rol van Priester of Pastoor werd door de acteur Lode van Beek vertolkt.,,,
6d7e651b-9d88-59b5-a3e6-3d8b9b30d067,tg:lhaq:8398,Items,1,,215082/45,,GG 297 / I,,,,
a36e92c5-0f8a-5561-ba97-6654acbb820f,tg:lhaq:8662,Items,1,tr:lh:2190,41400/A,isad:lh:95924,Planex GT,,,,
69ea3836-b1a2-53be-9eb0-d11034ec422f,tg:lhaq:9136,Items,1,tr:lh:9930,218018/4,isad:lh:96055,Planex GT / H 50494,"Decorontwerp uit map: """"Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"""".",,,
41b98cdd-3991-5d41-b1b6-0d8e86ec28b1,tg:lhaq:5115,Items,1,,115882/3,,V 36657 / I,,,,
6054f13c-ad14-5163-8f30-a0e324ae892b,tg:lhaq:8377,Items,1,,215082/24,,GG 297 / I,,,,
0214fbdf-6684-5a9f-9305-d3d03e7ed43f,tg:lhaq:7578,Items,1,tr:lh:5702,109861/32,isad:lh:100726,P 7385 / I (doos 1),,,,
d353168e-e8e7-5cda-945e-b06c7b2b4a26,tg:lhaq:6851,Items,1,tr:lh:6511,160062/4,isad:lh:96010,Planex GT 905,,,,
40d447db-e4f1-519f-8f54-81cffc776631,tg:lhaq:9024,Items,1,tr:lh:7497,197415/14,isad:lh:95953,S 5621 / I (Doos 3),,,,
94e4a2d5-834c-5458-a4ce-7b0d1d71fb0d,tg:lhaq:8320,Items,1,tr:lh:1987,37028/17,isad:lh:95994,Planex GT / V 3965,,,,
df3cf8c4-8782-5dae-96a1-8ba31d234e91,tg:lhaq:8770,Items,1,,174222/26,,Planex GT / T 159,,,,
8977eddf-762b-5d0b-91dc-10b43a4ff8ea,tg:lhaq:6847,Items,1,tr:lh:7634,212577/3,isad:lh:132095,Planex GT 905,"**Publicatie** KNS van Antwerpen, 98ste speeljaar, 1950-1951, eerste stuk van het seizoen; regie: Charles Gilhuys",,,
368a9b70-d698-5a26-b004-aa52a7f4f787,tg:lhaq:5338,Items,1,tr:lh:7356,195658/17,isad:lh:95976,H 538 / I,,,,
051851a8-de19-5fae-8d1e-fded9d099cda,tg:lhaq:8859,Items,1,tr:lh:7497,197408/69,isad:lh:95953,S 5621 / I (Doos 2),,,,
16a9eb62-6a5c-534c-bd97-c9856db68280,tg:lhaq:2384,Items,1,,202841,isad:lh:95922,SC 49 E 1,Kunstenaar M.T.,,,
79592f66-3e85-59b6-86ea-d1a7d0ff4338,tg:lhaq:8789,Items,1,tr:lh:7497,197407/17,isad:lh:95953,S 5621 / I (Doos 2),,,,
441fd62b-f45d-589b-b967-e6058f13c382,tg:lhaq:9032,Items,1,tr:lh:7497,197415/34,isad:lh:95953,S 5621 / I (Doos 3),,,,
007c9074-f043-5cce-bfed-bb701cfd548c,tg:lhaq:8766,Items,1,,174222/22,,Planex GT / T 159,,,,
bdabe72c-eb4d-5c91-afa6-73cf63a7d13f,tg:lhaq:2691,Items,1,tr:lh:6975,174236/1a,,A 18647 / I,,,,
6ca9d290-2da1-5252-8516-d622dfc72cc1,tg:lhaq:3311,Items,1,tr:lh:2681,53534/4,isad:lh:95949,Planex GP / H 5252 (doos 1),,,,
0fdc281e-9752-5f57-9f62-56bfdcfe24a9,tg:lhaq:2629,Items,1,tr:lh:5190,102771/4,isad:lh:95930,Planex GT / S,,,,
05c52c61-a548-5f23-8a06-316fd4a837b1,tg:lhaq:8674,Items,1,tr:lh:2339,44074/11,isad:lh:96034,V 114 / I (Doos 1),,,,
2aeb4991-67f4-53e0-bfd4-d8a70de34f53,tg:lhaq:8361,Items,1,,215082/12,,GG 297 / I,,,,
e815e902-eae4-56f8-96c8-75581a34e074,tg:lhaq:8875,Items,1,tr:lh:7497,197408/85A,isad:lh:95953,S 5621 / I (Doos 2),De rol van bedelaar werd door de acteur Toon Brouwers vertolkt.,,,
501b238f-d4fd-540b-871e-58aa7f3ab6d9,tg:lhaq:6884,Items,1,,174218/1,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, oktober 1942

**Regie:** Joris Diels",,,
b1a5249e-303f-5e48-89be-9f24a47f7e50,tg:lhaq:9272,Items,1,tr:lh:7087,177567,isad:lh:95953,S 5621 / I (Doos 4),,,,
28c6beb6-5d39-5eb6-ba48-355cd032c85c,tg:lhaq:8930,Items,1,tr:lh:7497,197411/15,isad:lh:95953,S 5621 / I (Doos 2),De rol van de Voedster van Julia werd  door de actrice Jeanne de Coen vertolkt.,,,
52af5ed1-07c1-56e5-bf6c-6a700fc03ab2,tg:lhaq:8571,Items,1,,215880/37,,Planex GT / T 159,,,,
79203454-833f-53fb-9a93-d2ae7232b14e,tg:lhaq:7542,Items,1,tr:lh:5702,109863/1,isad:lh:100726,P 7385 / I (doos 1),,,,
d47b5803-6d6a-5213-8130-d1b2685fa9d3,tg:lhaq:6646,Items,1,tr:lh:7281,179864/13,isad:lh:96004,Planex GT / CC 201,,,,
30a08090-6407-528c-b5df-d5a0adc4f5d5,tg:lhaq:9376,Items,1,tr:lh:1217,,isad:lh:125154,D 89 / I (Map 1),,,,
fe5263f1-2f5e-5ae8-896d-96c85039aabf,tg:lhaq:8834,Items,1,tr:lh:7497,197408/50,isad:lh:95953,S 5621 / I (Doos 2),"De rollen van snollen werden door de actrices Marilou Mermans, Martha de Wachter en Tine Balder vertolkt.",,,
21903495-259f-547d-b838-4af760477160,tg:lhaq:8567,Items,1,,215880/33,,Planex GT / T 159,,,,
38d27616-e096-5ec3-a76a-6655e34689b5,tg:lhaq:8072,Items,1,,142650,,SC 08 E 2,,,,
c0776009-11b9-5872-83f1-68dfb9b9ae7a,tg:lhaq:9399,Items,1,tr:lh:5068,,isad:lh:138658,C 2756 / I (Planex GT),,,,
fa9d99c3-8302-50b6-bb41-7ca29a79623f,tg:lhaq:8971,Items,1,tr:lh:7497,197412/45,isad:lh:95953,S 5621 / I (Doos 2),De rol van de oom van Dierik werd door de acteur Marcel Hendrickx vertolkt.,,,
4d062601-3044-5a15-8e74-1f5f932db9b3,tg:lhaq:8926,Items,1,tr:lh:7497,197411/11,isad:lh:95953,S 5621 / I (Doos 2),De rol van Montague werd  door de acteur Free Waeles vertolkt.,,,
2df7e58d-1308-5562-a1ce-c307787b4b01,tg:lhaq:6892,Items,1,,174215/2,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, mei 1943

**Regie:** Joris Diels",,,
e625361a-de20-56b3-9a45-64c2abe4079d,tg:lhaq:9008,Items,1,tr:lh:7497,197413/32,isad:lh:95953,S 5621 / I (Doos 3),,,,
2408849f-099c-5a51-9183-59018e2c6b51,tg:lhaq:8394,Items,1,,215082/41,,GG 297 / I,,,,
ec2ca4fc-6551-5ef0-9716-5fed7b4258b5,tg:lhaq:8681,Items,1,tr:lh:2339,44074/18,isad:lh:96034,V 114 / I (Doos 1),,,,
c52f258b-05e0-5fe2-892a-d0eaa8d7b3e5,tg:lhaq:8402,Items,1,,215082/49,,GG 297 / I,,,,
d1010bec-1453-5404-b4d7-e1182d02c1d6,tg:lhaq:8547,Items,1,,215880/17,,Planex GT / T 159,,,,
826d744f-1e33-5169-874b-f6f0cde769b1,tg:lhaq:7348,Items,1,tr:lh:5300,104358/8b,isad:lh:96017,V 444 / I,Op achterkant gelijkaardig aquarel.,,,
505e0b5c-1f77-5f57-9bed-daf42810853c,tg:lhaq:8793,Items,1,tr:lh:7497,197407/21,isad:lh:95953,S 5621 / I (Doos 2),,,,
269cee99-d826-53fd-9b86-2161b159e369,tg:lhaq:2371,Items,1,,76436,,SC 49 C 1,,,,
d9302f84-2e8d-5168-bffd-88ca481c673d,tg:lhaq:8906,Items,1,tr:lh:7497,197410/3,isad:lh:95953,S 5621 / I (Doos 2),De rol van Kopecka werd door de actrice Yolande Markey  vertolkt.,,,
d1ac254b-fed4-5c93-ae87-6e24876d4ec9,tg:lhaq:8785,Items,1,tr:lh:7497,197406/2,isad:lh:95953,S 5621 / I (Doos 2),,,,
d5a72e80-e210-5238-8fff-06fbd9869fee,tg:lhaq:5508,Items,1,tr:lh:7876,213470/1,isad:lh:95980,W 7562 / I,,,,
d2ec5af7-2128-5a68-935f-16cbbdc30394,tg:lhaq:1398,Items,1,tr:lh:5006,99191/22,isad:lh:95916,Planex KP / A 2875,Op postkaart gestuurd aan Jef Alpaerts,,,
1c4318d7-6f9d-5ba2-ba12-1ed4163a336c,tg:lhaq:8910,Items,1,tr:lh:7497,197410/7,isad:lh:95953,S 5621 / I (Doos 2),,,,
b39099c6-a388-5af8-8626-0f145d08bd43,tg:lhaq:9317,Items,1,tr:lh:9314,221035,isad:lh:96060,Planex GP / N 123,Kunstenaar: Max Van Dam.,,,
398b321c-d4df-5398-988d-07c22137a0ee,tg:lhaq:8855,Items,1,tr:lh:7497,197408/66,isad:lh:95953,S 5621 / I (Doos 2),,,,
8b9934e0-ddf2-50f4-abb0-dac0c392145e,tg:lhaq:8506,Items,1,,215879/26,,Planex GT / T 292,,,,
916d5ab5-de0e-50b9-86fc-f59e684d2a46,tg:lhaq:7309,Items,1,tr:lh:5300,104358/14,isad:lh:96017,V 444 / I,,,,
85d2ef05-d7a3-5c84-b5f6-20c23550f64f,tg:lhaq:8382,Items,1,,215082/29,,GG 297 / I,,,,
501c7580-ebf8-5adf-b5cb-97b4e075e7e3,tg:lhaq:8678,Items,1,tr:lh:2339,44074/15,isad:lh:96034,V 114 / I (Doos 1),,,,
f6e86625-02ad-5e0f-88b6-aefef9df8239,tg:lhaq:9069,Items,1,tr:lh:9195,220639/3a-b,isad:lh:95930,S 7265 / I,,,,
b434fa09-0a28-5199-930a-905267fae26d,tg:lhaq:9439,Items,1,tr:lh:9167,,isad:lh:109064,P 3445 / I,,,,
31441cf2-3f1a-5983-a02a-06ea12c49ca7,tg:lhaq:21,Items,1,tr:lh:7404,196085/1,isad:lh:95914,Planex GP / I 353,,,,
a5d548b4-5f62-5a54-8e2c-59b61c0e3eb6,tg:lhaq:8697,Items,1,tr:lh:4996,99068/4,isad:lh:96041,V 114 / I (Doos 1),Het ballet Triomf van de Geest werd in 1959  met een vernieuwde muzikale techniek door Willem Kersters gecomponeerd.,,,
b325d0f7-06e4-5d82-883c-5be9f08b3b72,tg:lhaq:4067,Items,1,,203500/3,isad:lh:95957,M 2475 / I,,,,
1a71cfaa-d538-532e-92d4-0e1a4b5c1022,tg:lhaq:8551,Items,1,,215880/21,,Planex GT / T 159,,,,
12544a7b-8ed8-5654-b554-a83bf02a2ad7,tg:lhaq:4122,Items,1,tr:lh:5626,112862/93,isad:lh:95960,M 439 / I,,,,
04134b2c-3694-543d-b16e-d817dee45565,tg:lhaq:4572,Items,1,tr:lh:5448,106948/5,isad:lh:95963,C 3396 / I (doos 1),,,,
ffc733e7-294a-540b-bb00-79836dd01a32,tg:lhaq:8746,Items,1,,174222/3,,Planex GT / T 159,,,,
dbca1a4c-bf14-578b-a1b9-bf72bf8a0ff9,tg:lhaq:8316,Items,1,tr:lh:1987,37028/8,isad:lh:95994,Planex GT / V 3965,,,,
0d41293c-3c7c-55b7-8f15-3e6d214752d4,tg:lhaq:9012,Items,1,tr:lh:7497,197414/3,isad:lh:95953,S 5621 / I (Doos 3),,,,
77628abe-48bc-56c8-90b0-f74a14b189bd,tg:lhaq:8879,Items,1,tr:lh:7497,197408/88,isad:lh:95953,S 5621 / I (Doos 2),De rollen van de joffers werden  door de actrices Sonia Dooms en Wilma Geurts vertolkt.,,,
0071d2ab-eb7b-548d-9a5e-48517726ac59,tg:lhaq:8896,Items,1,tr:lh:7497,197409/2,isad:lh:95953,S 5621 / I (Doos 2),,,,
638739d8-5291-57ed-b0bc-2b36ca02ff30,tg:lhaq:6888,Items,1,,174218/3,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, oktober 1942

**Regie:** Joris Diels",,,
