ResourceID,brocade.id,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,adm.note,Serial Number,Warehouse Location (begin),Warehouse Location (ende)
2a644055-3257-5800-85cb-54a393c05a4f,tg:lhph:38162,Items,1,tr:lh:6376,148920/19d,,M 198 / P (A),,,,
65e19c5f-74bd-564c-a680-7a88e1099b2d,tg:lhph:47195,Items,1,,221360,,M 284 / P (GF),,,,
525cb592-4469-5472-a28b-915d0df4c87b,tg:lhph:729,Items,1,tr:lh:6016,133000/10,isad:lh:93008,B 917 / P,,,,
2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,tg:lhph:16030,Items,1,tr:lh:7176,179027,,R 767 / P,,,,
4a6baaba-17fa-558f-965c-e7b475dac7c6,tg:lhph:40650,Items,1,tr:lh:7859,203626/2541,isad:lh:94873,M 224 / P (NEG0084/4/27),,,,
e8d3e385-f479-5b92-bf4a-b97898fa3ff1,tg:lhph:38498,Items,1,tr:lh:1497,27320/18,,B 4982 / P,,,,
97d26865-82f1-5053-8403-0e505e73c673,tg:lhph:41942,Items,1,tr:lh:3899,74480/1,,W 7035 / P,,,,
37e8668f-2309-5ed4-806b-b10a19c582e7,tg:lhph:26486,Items,1,tr:lh:7775,201344/5,isad:lh:94373,P 1835 / P,,,,
8978b3d2-be52-55ac-ac4c-9d80011fefc1,tg:lhph:21343,Items,1,tr:lh:7314,203647/48,isad:lh:92943,FVCA / P (Derden),,,,
6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,tg:lhph:29773,Items,1,tr:lh:7142,178458/8,isad:lh:93773,G 9435 / P (iv-v),,,,
fb79167a-c5de-5918-9e71-25755e3a8b08,tg:lhph:53586,Items,1,tr:lh:139964,,isad:lh:175416,,Bruikleen Vlaamse Gemeenschap,,,
14284bdf-7a32-570d-83ad-818e882df6e8,tg:lhph:34842,Items,1,tr:lh:9510,218458/1345,isad:lh:95309,B 1183 / P (NEG00142/3/10),,,,
59db60fd-5b91-58fb-8721-f79bcc62f64f,tg:lhph:35750,Items,1,tr:lh:5034,99512/2,isad:lh:117833,W 292 / P,,,,
c2aa9ae8-0c83-52c3-ac9e-23d097803010,tg:lhph:48260,Items,1,,,isad:lh:119780,,,V 7576 / 178,,
c42f4b17-eed4-5b74-bd6b-1059a9a41d7a,tg:lhph:28861,Items,1,,232749,,V 4127 / P,,,,
b692481a-9b2a-5ad9-9060-eea7c0a4fccd,tg:lhph:32095,Items,1,,109024/4,,V 9132 / P,,,,
e719f44a-712c-5df1-a3c0-a1d5f5191ffd,tg:lhph:6523,Items,1,tr:lh:4767,92987/2,isad:lh:93777,Y 952 / P,,,,
6ff9cac8-9b83-5c98-b844-5fa6712e8ff6,tg:lhph:30102,Items,1,,-,isad:lh:95322,J 416 / P,,,,
b14cf90b-19a9-5639-a891-8d9f62d7308b,tg:lhph:6489,Items,1,,234798/171,,Y 952 / P,,,,
572bd27f-1ce0-5037-9ba3-77b0cebd2b9f,tg:lhph:3371,Items,1,tr:lh:3171,64409/99,isad:lh:93287,G 994 / P,,,,
c2a62fab-721e-5a30-89f9-b5c344cf7b9a,tg:lhph:683,Items,1,tr:lh:5170,102977/2,isad:lh:176449,L 179 / P,,,,
70bd4cdd-21c7-502d-bca2-13bb2cdf2b5e,tg:lhph:38532,Items,1,tr:lh:357,7251,,B 4984 / P,,,,
b7f71443-04d8-5bbd-9c77-4ef829d3128f,tg:lhph:45002,Items,1,,166574,,D 197 / P,,,,
e6c63e10-2388-5053-a7dc-848c16b55172,tg:lhph:13662,Items,1,,99528,,C 283 / P,,,,
b92a5a30-856c-5117-82f7-a6c8a9f4a76c,tg:lhph:12970,Items,1,tr:lh:555,10641,isad:lh:94393,C 2638 / P,,,,
8f25fc0d-ef47-52bb-9d31-166d022a83b1,tg:lhph:24511,Items,1,tr:lh:6630,163974/2-3,isad:lh:95057,N 1702 / P,,,,
44c6058d-619c-5778-a18b-9c53e437cd07,tg:lhph:20801,Items,1,tr:lh:7314,,isad:lh:92943,FVCA / P (1950-1952/112),,,,
8e0a6f52-ced8-5493-be2a-9f664a8a7e94,tg:lhph:40200,Items,1,tr:lh:6989,174467/4,isad:lh:93721,M 43828 / P,,,,
1f59a08b-dda1-5fca-b834-cb8a1694a9a6,tg:lhph:16460,Items,1,tr:lh:3269,66291/31,isad:lh:93043,R 951 / P,,,,
3843043e-654e-5213-b654-9551a1c436ea,tg:lhph:9286,Items,1,tr:lh:2990,60182/17,isad:lh:94056,C 122 / P,,,,
98ccd930-9117-545b-999e-861da6ef129f,tg:lhph:13398,Items,1,tr:lh:1914,34109/2,isad:lh:92959,B 71525 / P,,,,
f4602664-7a75-53c0-8bb1-e602566ac8ca,tg:lhph:35300,Items,1,tr:lh:3899,74479/19,,B 366 / P,,,,
d993a635-cd92-5b5a-aafb-f1b934d540e4,tg:lhph:19795,Items,1,tr:lh:7859,203626/1105,isad:lh:94873,M 224 / P (NEG0041/3/14),,,,
d1094849-49c8-5741-ab6e-c43cd84d5b0f,tg:lhph:6173,Items,1,,233995/2,,W 802 / P,,,,
35175593-a3c4-5c05-b4c0-125ad2500487,tg:lhph:18887,Items,1,tr:lh:1048,19122/5,isad:lh:93650,H 635 / P,,,,
35175593-a3c4-5c05-b4c0-125ad2500487,tg:lhph:18887,Items,2,tr:lh:1364,23180/9,,H 635 / P,,,,
35175593-a3c4-5c05-b4c0-125ad2500487,tg:lhph:18887,Items,3,tr:lh:1492,27493/937,,H 635 / P,,,,
2d82c565-4453-55c7-9c00-5af06f09de12,tg:lhph:29323,Items,1,tr:lh:6461,158560/99,isad:lh:94760,R 2325 / P,,,,
838a98b8-79ed-56ea-b03c-03d258c32f41,tg:lhph:2999,Items,1,,52519,,V 4835 / P,,,,
f0d39d46-ca0f-5ef7-a63b-1217fbf2810a,tg:lhph:49922,Items,1,,,isad:lh:142208,,,,,
199277b1-fc7f-5ec0-91ee-468088c5bd63,tg:lhph:36486,Items,1,tr:lh:9510,218458/1839,isad:lh:95309,B 1183 / P (NEG00200/2/15),,,,
dd6ae150-d001-5b01-9d46-1eb38ee1feb5,tg:lhph:2130,Items,1,tr:lh:2220,42261/1,,D 3405 / P,,,,
dd6ae150-d001-5b01-9d46-1eb38ee1feb5,tg:lhph:2130,Items,2,,44259/6,,D 3405 / P,,,,
cc3aca53-19d4-5edc-a04d-b0ee39188a24,tg:lhph:31343,Items,1,tr:lh:7888,234835/10,,J 2547 / P,,,,
e2f86e48-3d0a-5046-993c-75a7f93d7ca7,tg:lhph:28498,Items,1,,97805/3,,V 6059 / P,,,,
ede65729-3df0-5929-8d4d-3db8749cd983,tg:lhph:25750,Items,1,tr:lh:7726,200461/11b en h,isad:lh:93406,J 416 / P,,,,
c430702c-64ae-5893-9cfc-c51bcf64b8de,tg:lhph:22095,Items,1,tr:lh:882,16079/102,isad:lh:93498,H 8373 / P,,,,
c430702c-64ae-5893-9cfc-c51bcf64b8de,tg:lhph:22095,Items,2,tr:lh:1102,19857/4,isad:lh:93142,H 8373 / P,,,,
982c5a1d-4245-5bbd-a9a2-42789c4e82b4,tg:lhph:38861,Items,1,tr:lh:9510,218458/2705,isad:lh:95309,B 1183 / P (NEG00291/4/28),,,,
e368da7c-3c64-56f2-b777-28c79e0ee3a3,tg:lhph:39773,Items,1,tr:lh:4256,82690/23,isad:lh:93877,M 435 / P (I),,,,
faa21d16-2c0d-5edf-9bae-98a024d2f6f7,tg:lhph:44243,Items,1,,,isad:lh:94164,B 585 / ARC (28),,,,
a4c17d5e-5855-563b-b2b0-a36249938212,tg:lhph:12423,Items,1,,61167/12,,B 8701 / P,,,,
8b88944e-bfa9-5105-aa29-a3888d45a63e,tg:lhph:43586,Items,1,tr:lh:30829,219697/39,isad:lh:93751,M 945 / P,,,,
c089ea6c-0779-5a66-9db6-4dd2be3682d3,tg:lhph:24842,Items,1,,150673/1,,NN 21 / P,,,,
9d750fc3-d4c4-5822-b261-0e9b57befd17,tg:lhph:41041,Items,1,tr:lh:6783,167912/60,isad:lh:94330,M 6439 / P,,,,
21b4c90c-5ae3-5088-b88f-23bacbe8fa71,tg:lhph:17621,Items,1,tr:lh:5830,122419/11,,H 518 / P,,,,
8ca2013d-d6b2-5ced-a5bb-cb0256e722b1,tg:lhph:39289,Items,1,tr:lh:9510,218458/2815,isad:lh:95309,B 1183 / P (NEG00304/4/14),,,,
5d0bb0ee-f08a-54a1-9261-11aea3ac27f0,tg:lhph:46784,Items,1,tr:lh:3522,69706,,E 154 / P,,,,
97e1dff9-866f-5746-816d-914cdc0b19da,tg:lhph:47896,Items,1,tr:lh:7336,186508/1,isad:lh:103960,S 59 /P,,,,
cd181cad-5222-5c13-8190-318f21298963,tg:lhph:27297,Items,1,tr:lh:5552,110081/173,isad:lh:93622,P 38 / P,,,,
f3d93139-34b5-5052-b813-0d316c55c2aa,tg:lhph:16933,Items,1,tr:lh:3837,73771/5,,H 1935 / P,,,,
09e646b3-13c3-554e-9ee9-3b6575cdb877,tg:lhph:52397,Items,1,tr:lh:139964,,isad:lh:182271,,Bruikleen Vlaamse Gemeenschap - STR10565,S 935 / 484,,
fcfeb626-f3da-5939-b09e-88aa1110811d,tg:lhph:28162,Items,1,tr:lh:6350,148142/1-20,,P 616 / P (S),,,,
8897571d-1c70-5f9e-ba4a-4abe981dbd8a,tg:lhph:32996,Items,1,tr:lh:1224,22251/27,,K 293 / P,,,,
a7c6a91a-1d11-5552-a190-eb17d7d57e55,tg:lhph:33684,Items,1,,75339/b,,K 592 / P,,,,
ffe4eee3-3d6e-5685-932e-5813da029e26,tg:lhph:7332,Items,1,tr:lh:5197,102821/18,isad:lh:93851,V 1582 / P,,,,
90192338-7b0a-5c15-b5bc-8691b296e7f4,tg:lhph:49471,Items,1,,,isad:lh:95662,,,W 909 / 6,,
cd663574-8f69-57b9-95ee-1da7ae727d93,tg:lhph:34141,Items,1,tr:lh:4744,92278/4,isad:lh:93095,B 1333 / P (Portretten 1946-1965),,,,
58aa95b1-4d5e-527e-ab37-06c3b45e4651,tg:lhph:30801,Items,1,tr:lh:7019,183399/15,,G 4125 / P,,,,
8bf06cc4-4b58-5fe9-9a29-608141d9915b,tg:lhph:50200,Items,1,tr:lh:1961,35841,isad:lh:94550,L 126 / P,,,,
a89bf226-0b74-5eb8-a244-23a0e80e7ef3,tg:lhph:7298,Items,1,tr:lh:825,15275,isad:lh:93423,S 935 / P,,,,
92e5e3e3-5425-5684-a19a-d57135de6a1c,tg:lhph:2560,Items,1,tr:lh:6603,163141/904,isad:lh:93324,G 395 / P,,,,
208b35b9-4ab1-59f5-a5ba-70f1d29341dc,tg:lhph:31713,Items,1,,215857/14,,SS 448 / P,,,,
cd323fc3-3253-58fc-bfca-36b00b7cd7e0,tg:lhph:12073,Items,1,tr:lh:4981,98788/16,isad:lh:93183,B 523 / P,,,,
5e279465-fa41-5564-9fb0-f1809577cedd,tg:lhph:44613,Items,1,,220813,isad:lh:176462,L 179 / P,,,,
80b7ec5c-0e63-5314-baf0-d70dcc94a31c,tg:lhph:39323,Items,1,tr:lh:3925,74787/6,,M 335 / P,,,,
8b2325bb-756c-55e0-8351-2c2815024bb8,tg:lhph:25300,Items,1,tr:lh:1321,22347/5,,T 3465 / P,,,,
1f837051-5067-5b6a-bb0b-e4996e6746c5,tg:lhph:45901,Items,1,tr:lh:4574,87843,isad:lh:95759,C 3664 / P,,,,
bbc918e2-8051-501a-a5e1-3c1509900a7a,tg:lhph:16899,Items,1,tr:lh:6071,137454/452,isad:lh:93676,S 176 / P,,,,
9e769312-3a30-51df-bae0-8d9ef087cfd4,tg:lhph:17271,Items,1,tr:lh:6721,166603/26,isad:lh:93637,S 584 / P,,,,
153bc76d-6eb5-562f-aeea-36c181ff8d2e,tg:lhph:41411,Items,1,tr:lh:1867,34763/28c,isad:lh:94467,O 295 / P (A1),,,,
fc23b4b5-a6f6-521e-b4fa-d5c2799c33d8,tg:lhph:12589,Items,1,tr:lh:6918,171159,isad:lh:94339,B 97563 / P,,,,
b4cfb4e3-aa46-59a2-9495-82a2578d688e,tg:lhph:8497,Items,1,tr:lh:4429,84949/6,,V 85711 / P,,,,
4ddb0376-17f4-555d-8891-9d31096c9128,tg:lhph:18184,Items,1,tr:lh:7827,202254/85,isad:lh:94871,R 286 / P,,,,
bb558c5e-34ff-5ee4-a974-a90f0a0ff88b,tg:lhph:34511,Items,1,tr:lh:6947,173392/39,isad:lh:95444,L 1628 / P,,,,
8d42ea0f-eb50-50e0-b5bc-4d57f4f061be,tg:lhph:28532,Items,1,tr:lh:4283,82986/6,,P 8836 / P,,,,
8ac79404-a9b3-5af2-bf87-94d89d9ec5c1,tg:lhph:6870,Items,1,tr:lh:7601,198980/31,isad:lh:93452,G 9947 / P,,,,
32d71454-b9a5-502d-9e03-cb851c6bbdb2,tg:lhph:15759,Items,1,tr:lh:1492,27571/428,,F 1603 / P,,,,
68985793-4ae6-58ae-8cd8-b826574e43d4,tg:lhph:43139,Items,1,,106681,,B 943 / P,,,,
fcf740c5-31f6-5961-8945-f73450c1455f,tg:lhph:17764,Items,1,tr:lh:4584,88066/1,,H 534 / P,,,,
0e89a1f7-f5f7-56fa-b317-4acdada712a9,tg:lhph:41104,Items,1,,175736/1,,M 6523 / P,,,,
65800d28-f952-5d44-8c4f-6e3d2f1cbd21,tg:lhph:8182,Items,1,,103299/23b,,W 803 / P,,,,
8534c1ca-2888-563d-a353-f0253f0269d6,tg:lhph:16876,Items,1,tr:lh:3832,74005/4,,H 165 / P,,,,
3281753e-11aa-5a5f-8d7c-50667a5859a2,tg:lhph:20417,Items,1,tr:lh:7859,203626/1430,isad:lh:94873,M 224 / P (NEG0050/5/59),,,,
62ccb6fb-6a9b-5dac-bc49-abb29d259111,tg:lhph:28027,Items,1,tr:lh:3839,74271/5,,P 616 / P,,,,
6ec1da2d-4583-5293-88f1-c76437d1548b,tg:lhph:34004,Items,1,tr:lh:1492,27493/477,,B 1333 / P (Portretten 1920-1945),,,,
cd09d4c3-25af-5561-8762-26e4c371535d,tg:lhph:49534,Items,1,,,isad:lh:95662,,,W 909 / 8,,
470507dc-cda9-5b01-8f80-4e9a2e0a9c83,tg:lhph:18491,Items,1,tr:lh:7859,203626/287,isad:lh:94873,M 224 / P (NEG0009/4/31A),,,,
d8e8fc3b-dc5f-5443-be6d-1fec5885a2ee,tg:lhph:7277,Items,1,tr:lh:6820,168597,isad:lh:92978,S 935 / P,,,,
2de84226-24be-516e-a22d-a55c654500d2,tg:lhph:36039,Items,1,tr:lh:5584,111577/64,isad:lh:93015,L 4312 / P,,,,
53daec95-261a-531b-b983-828befa03b1f,tg:lhph:31206,Items,1,tr:lh:5795,120382/15,,J 243 / P,,,,
f2822252-6a97-530e-b98d-661eb587310e,tg:lhph:51807,Items,1,,,isad:lh:154896,,,,,
70e4f6f0-5c0c-538b-b8e7-bd1a3119cdf6,tg:lhph:2075,Items,1,tr:lh:7282,185730,,G 3633 / P,,,,
de0ae20c-34a7-53eb-9206-5e74d9aa43e9,tg:lhph:50715,Items,1,,,isad:lh:147062,,,,,
3d21a7af-dc4f-54d8-9b12-07bf6f7c20a7,tg:lhph:52728,Items,1,tr:lh:139964,,isad:lh:161172,,Bruikleen Vlaamse Gemeenschap - STR11557,S 935 / 488,,
c6797a55-58f6-50a3-9b38-c50f86ad99e5,tg:lhph:38924,Items,1,tr:lh:3839,74035/1,,M 235 / P,,,,
24a70e85-4dbb-5f34-8e87-50d04f256552,tg:lhph:27628,Items,1,tr:lh:7721,200537/37,isad:lh:146741,P 505 / P (IV),,,,
55500cb0-6305-579f-8ff3-8133f9a2745f,tg:lhph:25615,Items,1,tr:lh:6462,158575/54,isad:lh:93743,V 3484 / P,,,,
968d517a-7719-574d-9764-0259bcb53ded,tg:lhph:24907,Items,1,,76367/2,,V 3419222 / P,,,,
09801a22-f927-590e-b9f5-ac094b363e5f,tg:lhph:12566,Items,1,tr:lh:7358,195682/1,isad:lh:94332,B 896558 / P,,,,
4839a2c3-f543-5fc8-99cc-c3c7134d5113,tg:lhph:44306,Items,1,,220150,isad:lh:95763,F 36 / P,,,,
37ef833c-a8d5-52e8-b45d-6183de426614,tg:lhph:8478,Items,1,tr:lh:6861,169842/70,isad:lh:93429,W 144 / P,,,,
0f5e122d-d84f-5d7d-b935-df1547c60f46,tg:lhph:39636,Items,1,tr:lh:6989,174486/19,isad:lh:92953,M 4073 / P,,,,
4ef702d9-1456-5261-8850-820808169b73,tg:lhph:27782,Items,1,tr:lh:6558,161924/16,isad:lh:93210,V 486 / P,,,,
ae4a5f03-ffac-595b-812f-646b465de697,tg:lhph:46291,Items,1,,203864/36,isad:lh:94147,C 395 / ARC (377),,,,
413f2ca5-a867-5e5c-b3c6-35ce7205f5da,tg:lhph:43569,Items,1,,219721/14,,E 232 / P,,,,
cbff7b50-0d63-52c6-9727-efd7d548820e,tg:lhph:15309,Items,1,tr:lh:692,13405,,R 606 / P,,,,
2eb81bfc-5fc0-53e9-b9e0-128ca1d21220,tg:lhph:41554,Items,1,tr:lh:6989,174462,isad:lh:92953,B 745 / P,,,,
b3fa8b41-9478-5391-b97e-63fc9bef3c02,tg:lhph:17334,Items,1,tr:lh:5960,130205,,H 4133 / P,,,,
bcf33c02-ac18-5673-841c-5e04ccb96bd9,tg:lhph:26890,Items,1,tr:lh:5428,106516/3,isad:lh:95159,P 27263 / P,,,,
d96eaf51-56ff-5365-b51f-b7c626dd9708,tg:lhph:49164,Items,1,,,isad:lh:133548,,Enkel digitaal beschikbaar. Het origineel is in bezit van de familie.,,,
a1a5c591-142e-5f15-92a4-64440e3fc4c0,tg:lhph:53990,Items,1,tr:lh:140159,,isad:lh:183099,D 125 / P (3) 13,,,,
f9a4758e-88ae-50c5-b6c2-6735a9e98cf8,tg:lhph:34454,Items,1,tr:lh:6462,158575/393,isad:lh:93803,W 1925 / P,,,,
f1d38d74-b3cb-5e0d-9d1f-61974558f167,tg:lhph:33391,Items,1,tr:lh:4895,97872/3,,K 3779 / P,,,,
eacaaa44-c060-57d2-89f1-927ad4e1fafc,tg:lhph:36469,Items,1,tr:lh:4414,84802,,B 418 / P,,,,
aa991f06-8947-5c50-9da0-1e2db80bed84,tg:lhph:7627,Items,1,tr:lh:2877,57785/2,isad:lh:93093,V 37336 / P,,,,
8297b535-2278-5fbb-abf5-405486f6f25a,tg:lhph:28477,Items,1,tr:lh:9820,71733/11,,V 603 / P,,,,
a1b52101-6f2e-5e80-83c3-0875b5440d27,tg:lhph:6935,Items,1,tr:lh:4834,96578/49k,isad:lh:93832,A 14 / P,,,,
f847d74e-3c66-5377-bb99-a14611b01a58,tg:lhph:4908,Items,1,tr:lh:6726,166711/2,isad:lh:93699,A 3571 / P,,,,
07bb1ea9-3a82-5bb9-9644-04093495a319,tg:lhph:52682,Items,1,tr:lh:139964,,isad:lh:161172,,Bruikleen Vlaamse Gemeenschap - STR11467,S 935 / 488,,
9f22706b-2354-589d-80e8-3575eeee9860,tg:lhph:50345,Items,1,,,isad:lh:144833,,,,,
97385054-6566-54b1-a59f-9b3568b02b7e,tg:lhph:32979,Items,1,tr:lh:1224,22251/61,,K 293 / P,,,,
58dbae78-0cf4-55ea-ab00-887baf89e1c7,tg:lhph:30944,Items,1,,88246/2,,G 452 / P,,,,
deebc22f-fb5f-540e-aa09-ad9bbc929639,tg:lhph:52378,Items,1,tr:lh:139964,,isad:lh:182560,,Bruikleen Vlaamse Gemeenschap - STR10179,S 935 / 482,,
ab7343c5-3a66-5f03-8682-312cb9341570,tg:lhph:31656,Items,1,,174077/4,,J 3357 / P,,,,
d7565c2b-39f0-5ce0-b444-1ce69665823f,tg:lhph:36193,Items,1,tr:lh:9510,218458/1751,isad:lh:95309,B 1183 / P (NEG00190/2/1),,,,
27ec2153-e30d-5741-aaef-6b5fc440e17d,tg:lhph:2425,Items,1,,111407/5,,G 395 / P,,,,
2c3f5e5f-7120-54ed-a941-9a801c424ae4,tg:lhph:43093,Items,1,,219354/4,isad:lh:95708,AA 228 / P,,,,
2a827234-97f9-536c-901d-140927740463,tg:lhph:39266,Items,1,tr:lh:9510,218458/2806,isad:lh:95309,B 1183 / P (NEG00304/2/5),,,,
30a17332-bc2c-59b6-a4f2-1c44811b5ef1,tg:lhph:44756,Items,1,tr:lh:2432,47319/7,isad:lh:94503,D 1175 / P,,,,
f5d04e61-9e65-5527-9297-38bdf132cb69,tg:lhph:12136,Items,1,,116721/2,,B 6285 / P,,,,
e1a4d40b-ef80-5267-bc23-e74334b3467e,tg:lhph:45844,Items,1,tr:lh:9314,221009/1,isad:lh:95056,SC 14 E1,,,,
e119a767-cb08-5c2e-b681-f5eb60f14a33,tg:lhph:22580,Items,1,tr:lh:1247,21386/8,,H 905 / P,,,,
e119a767-cb08-5c2e-b681-f5eb60f14a33,tg:lhph:22580,Items,2,tr:lh:1874,33543,isad:lh:93862,H 905 / P,,,,
472faf59-1da7-5407-ac5b-4d0c1a59df45,tg:lhph:27278,Items,1,tr:lh:4231,81775/47,isad:lh:93123,V 36695 / P,,,,
abcd21d5-f7c2-506d-b683-d246c3b2bddc,tg:lhph:25245,Items,1,tr:lh:882,16079/75,isad:lh:93498,V 353 / P,,,,
abcd21d5-f7c2-506d-b683-d246c3b2bddc,tg:lhph:25245,Items,2,tr:lh:1102,19866/2,isad:lh:93142,V 353 / P,,,,
abcd21d5-f7c2-506d-b683-d246c3b2bddc,tg:lhph:25245,Items,3,tr:lh:2936,59296/77,isad:lh:93151,V 353 / P,,,,
1beb5107-a30d-51aa-9fe0-ce33f5a8a96a,tg:lhph:47879,Items,1,tr:lh:7336,210298,isad:lh:103960,S 59 /P,,,,
bc9ed203-99c5-5fad-b52a-6f1b41cea4dd,tg:lhph:40715,Items,1,tr:lh:7859,203626/2553,isad:lh:94873,M 224 / P (NEG0084/7/36),,,,
a1ab8663-a030-5bbc-9cfb-92178ba94cb5,tg:lhph:16175,Items,1,,86566/71,,R 7874 / P,,,,
133ce82a-2e32-5989-a3a3-5ec8db31bbd0,tg:lhph:9793,Items,1,tr:lh:7192,179231/6,isad:lh:94095,S 5947 / P,,,,
aff65742-1bf7-53a2-8688-16f2dff65e90,tg:lhph:14148,Items,1,tr:lh:2432,46956/49,isad:lh:94503,D 1175 / P,,,,
902fa777-443b-5fea-8312-f0ed44d709e9,tg:lhph:21206,Items,1,tr:lh:7859,203626/1743,isad:lh:94873,M 224 / P (DIA0060/6/34),,,,
89d11f54-742b-56d8-8f1c-6eb671745bba,tg:lhph:41807,Items,1,tr:lh:4066,77913/1,,W 7977 / P,,,,
79228485-0c78-536e-9528-61b91417a6ad,tg:lhph:8881,Items,1,tr:lh:4697,97588/8,isad:lh:93330,S 2968 / P,,,,
83ebaeb7-f9c7-5bb9-98a9-b0953b46bee6,tg:lhph:34907,Items,1,tr:lh:9850,218439/16,isad:lh:95298,L 2057 / P,,,,
ea3df8db-10b2-515f-8064-5e83e2508e28,tg:lhph:29636,Items,1,,235148/3-4,,G 8943 / P,,,,
51eb7eb7-ee99-5f6d-91f7-b08d7fc08cd5,tg:lhph:28924,Items,1,,177960/1,,V 661 / P,,,,
716f4991-4c83-52f5-a08a-cd8c486a0ece,tg:lhph:19280,Items,1,tr:lh:9743,167700/43,,S 83965 / P,,,,
489ba9be-6707-5143-9aaf-3800a3bf9955,tg:lhph:37628,Items,1,,20150/2,,M 153 / P,,,,
d1eeca93-17ee-500e-b46d-43744b779621,tg:lhph:6466,Items,1,,000,,Y 952 / P,,,,
f25145bf-6cf3-5d1f-9b09-6c983461541a,tg:lhph:35615,Items,1,tr:lh:6027,133270/18,isad:lh:117833,W 292 / P,,,,
92ef99f2-bb64-517f-9dda-5bdca3fd3c0f,tg:lhph:30417,Items,1,tr:lh:6378,148946/31a,isad:lh:94672,V 724 / P,,,,
e812b9ef-dae9-5057-b9a5-057035009b4b,tg:lhph:1659,Items,1,tr:lh:3821,73637/a,,D 3405 / P,,,,
6beda69f-f0b0-55b9-829e-d73474176fdf,tg:lhph:53139,Items,1,tr:lh:139964,,isad:lh:162566,,Bruikleen Vlaamse Gemeenschap - STR12454,S 935 / 492,,
97a8e76c-3a6f-579a-8a9b-5899db05bd6f,tg:lhph:51104,Items,1,,,isad:lh:128884,,,,,
9ad9426c-f718-5526-9021-7a36be8898f3,tg:lhph:18868,Items,1,tr:lh:6022,141113,isad:lh:94883,H 635 / P,,,,
c7ab6e7c-8418-5956-ba7e-55a6b7c8b7ce,tg:lhph:2976,Items,1,tr:lh:6603,163138,isad:lh:93324,G 395 / P,,,,
c49cf029-6140-50c4-81d7-f297c268aed3,tg:lhph:24004,Items,1,tr:lh:2451,47303/76,isad:lh:95005,M 8235 / P (map IV-V),,,,
5a24e0b5-d528-5bf5-887c-ab284473d6b3,tg:lhph:26039,Items,1,tr:lh:6462,158575/16,isad:lh:93743,V 3484 / P,,,,
1b59ac9a-2b4a-5f1d-843e-67e1ece1f9a7,tg:lhph:38027,Items,1,tr:lh:6376,148911/7,,M 198 / P,,,,
64264d0b-0f3b-58f5-b32e-a08ab37a0523,tg:lhph:9269,Items,1,tr:lh:2990,60182,isad:lh:94055,C 122 / P,,,,
dda3da6f-aab4-5833-8c9d-91f729be0ce9,tg:lhph:45517,Items,1,,27381/933,,D 348 / P,,,,
a2561742-db0a-50f3-91fc-664505fa1039,tg:lhph:13377,Items,1,,102742/68,,B 7548 / P,,,,
63efed9f-51e3-52d7-8e64-16a9b24c61a2,tg:lhph:396,Items,1,tr:lh:7314,,isad:lh:92944,FVCA / P (1910-1919/45-48),,,,
c90d987b-db5b-5776-bba3-21486e0c534f,tg:lhph:21656,Items,1,tr:lh:7314,203646/58,isad:lh:92943,FVCA / P (Familie),,,,
