ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Connected Subject Role,Connected Subject Widget,Connected Subject Identifier,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,End Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,source_field,Creation Time Span Source Note,Description,Description Type,Description Language,dataset,External Relation Note,External Relation,External Relation URL,External Relation URL Type,External Relation Note Language,External Relation Note Type,source_code,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,Change History Identifier,Change History Date,Change History User,Change History Description,Change History Activity
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11069002,2018-03-20 16:00:42 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11069148,2018-03-20 18:06:39 +0000 UTC,usystem,Bewerken van de illustraties,thumbnail
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266554,2018-06-15 08:35:34 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266555,2018-06-15 08:35:34 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266557,2018-06-15 08:35:34 +0000 UTC,dimhof,Bewerken van de annotaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266561,2018-06-15 08:35:34 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266913,2018-06-15 10:08:38 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266914,2018-06-15 10:08:38 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266916,2018-06-15 10:08:38 +0000 UTC,dimhof,Bewerken van de annotaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266920,2018-06-15 10:08:38 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11267093,2018-06-15 10:19:27 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11267094,2018-06-15 10:19:27 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11267096,2018-06-15 10:19:27 +0000 UTC,dimhof,Bewerken van de annotaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11267100,2018-06-15 10:19:27 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:24,https://data.museumplantinmoretus.be/ark:/11975/251d4f80-80c8-5190-a8e5-e63866de74cd,Tekeningen,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationActors,1,4c2593ff-6f39-5958-b785-bfb49d6cc786,au::13830,,,,artists (visual artists),AVN monogram midden onderaan,"dlod={""name"":""Adam van Noort"",""ark"":""ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786"",""uri"":""/agents/people/60894"",""id"":""au::13830"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,,,,,,id/date.creationdate/so,16050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationTimeSpanSourceNotes,1,,,,,,,,,,,,,,,,,,id/date.creationdate/so,16090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationTimeSpans,,,,,,,,,,,,,1605,1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Descriptions,,,,,,,,,,,,,,,,,,,id.desc,,Maria op een troon omringd door engelen,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,mpmtk,p. 346,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:839899,zie verder bibliotheekcatalogus Museum Plantin Moretus,Nederlands,remarks,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,,e73_LegacyInformation,0,,,,,,,,,,,,,,,,,,id.objectNumber,,,,,,,,,,,,,,BE-ANN00/tk/000000009,referentienummer,False,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,,e73_LegacyInformation,1,,,,,,,,,,,,,,,,,,brocade.id,,,,,,,,,,,,,,tg:mpmtk:24,brocade id,False,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,,e73_LegacyInformation,1,,,,,,,,,,,,,,,,,,brocade.url,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:24/N,brocade url,False,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f7b959e3-1609-5a91-8d2f-57b2f02f87bb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ff3c2907-d53e-4310-90ea-4006b0e31a36"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Titles,1,,,,,,,,,,,,,,,,,,id.title/ti,,,,,,,,,,,,,,,,,,,,,,Maria op een troon omringd door engelen,titles proper,Dutch (language),,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-31 16:17:07 +0000 UTC,dimhof,,Creatie
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606436,2015-03-31 16:17:07 +0000 UTC,dimhof,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606437,2015-03-31 16:17:07 +0000 UTC,dimhof,Bewerken van de items,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606438,2015-03-31 16:17:07 +0000 UTC,dimhof,Bewerken van de kenmerken,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606442,2015-03-31 16:17:07 +0000 UTC,dimhof,Bewerken van de ISAAR relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606443,2015-03-31 16:17:07 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606481,2015-03-31 16:19:14 +0000 UTC,dimhof,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606484,2015-03-31 16:19:14 +0000 UTC,dimhof,Bewerken van de annotaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606487,2015-03-31 16:19:14 +0000 UTC,dimhof,Bewerken van de ISAAR relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606488,2015-03-31 16:19:14 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606514,2015-03-31 16:19:55 +0000 UTC,dimhof,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606517,2015-03-31 16:19:55 +0000 UTC,dimhof,Bewerken van de annotaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606521,2015-03-31 16:19:55 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606547,2015-03-31 16:20:18 +0000 UTC,dimhof,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606550,2015-03-31 16:20:18 +0000 UTC,dimhof,Bewerken van de annotaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606554,2015-03-31 16:20:18 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606589,2015-03-31 16:23:23 +0000 UTC,dimhof,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606592,2015-03-31 16:23:23 +0000 UTC,dimhof,Bewerken van de annotaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606596,2015-03-31 16:23:23 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8609374,2015-04-01 12:56:04 +0000 UTC,dimhof,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8609377,2015-04-01 12:56:04 +0000 UTC,dimhof,Bewerken van de annotaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8609381,2015-04-01 12:56:04 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8609383,2015-04-01 12:56:30 +0000 UTC,dimhof,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8609386,2015-04-01 12:56:30 +0000 UTC,dimhof,Bewerken van de annotaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8609390,2015-04-01 12:56:30 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9667581,2017-02-10 12:31:51 +0000 UTC,kselle,Bewerken van de identificatie,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9667582,2017-02-10 12:31:51 +0000 UTC,kselle,Bewerken van de items,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9667584,2017-02-10 12:31:51 +0000 UTC,kselle,Bewerken van de annotaties,edit
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9667588,2017-02-10 12:31:51 +0000 UTC,kselle,Bewerken van de externe relaties,edit
